Rank,Rating,Name,Class,Server,Win_Loss,Win_Perc
146,3076,Traktorcho,Shaman,Firemaw,1674 - 1216,58%
146,3076,Китяо,DeathKnight,Flamegor,414 - 336,55%
146,3076,Тёмахолишок,Paladin,Flamegor,427 - 347,55%
149,3072,Bananafeed,DeathKnight,Firemaw,547 - 469,54%
149,3072,Bv,Paladin,Firemaw,821 - 711,54%
151,3070,Hrvyspctr,Rogue,Ashbringer,383 - 331,54%
151,3070,Xumbra,Priest,Ashbringer,383 - 331,54%
153,3062,Razoonov,DeathKnight,Firemaw,154 - 90,63%
153,3062,Xynthías,Paladin,Sulfuron,724 - 634,53%
155,3061,Bænger,Paladin,Firemaw,265 - 181,59%
155,3061,Deadlyburst,Shaman,Firemaw,476 - 393,55%
157,3056,Raselx,Warrior,Firemaw,421 - 352,54%
158,3049,Afkcafé,Shaman,Sulfuron,404 - 342,54%
158,3049,Cavítas,DeathKnight,Venoxis,823 - 729,53%
158,3049,Ditchccident,Paladin,Venoxis,893 - 807,53%
161,3045,Lgbtpaladin,Paladin,Gehennas,349 - 300,54%
161,3045,Lgbtshaman,Shaman,Gehennas,213 - 184,54%
163,3042,Azuråel,Rogue,Earthshaker,413 - 344,55%
164,3040,Aykwea,Priest,Gehennas,579 - 486,54%
164,3040,Wiercik,Druid,Gehennas,700 - 607,54%
166,3035,Инрикки,Paladin,Flamegor,1003 - 666,60%
166,3035,Мспокуни,Warrior,Flamegor,729 - 526,58%
168,3032,Kontek,Priest,Firemaw,357 - 303,54%
168,3032,Kontoo,Hunter,Firemaw,482 - 418,54%
170,3029,Cavitonne,DeathKnight,Venoxis,538 - 397,58%
170,3029,Daccident,Paladin,Venoxis,1150 - 968,54%
172,3028,Mirlól,Rogue,Gehennas,649 - 395,62%
173,3027,Spinozà,Shaman,Sulfuron,279 - 208,57%
173,3027,Castillon,Paladin,Sulfuron,466 - 377,55%
175,3021,Criminalriv,Mage,Gehennas,283 - 219,56%
176,3014,Clixp,Paladin,Gehennas,282 - 209,57%
176,3014,Cráps,Shaman,Gehennas,162 - 124,57%
176,3014,Eirå,Priest,Earthshaker,390 - 338,54%
179,3011,Japhets,Priest,Gehennas,388 - 314,55%
180,3009,Systemhack,Warrior,Firemaw,345 - 244,59%
181,3007,Arthers,Warrior,Firemaw,127 - 60,68%
182,3006,Madix,Priest,Gehennas,356 - 272,57%
182,3006,Immunityx,Rogue,Gehennas,390 - 338,54%
184,3005,Zrenyal,Rogue,Gehennas,250 - 214,54%
185,3003,Mishappen,Rogue,Mirage Raceway,956 - 843,53%
185,3003,Engics,Priest,Mirage Raceway,805 - 738,52%
187,3001,Шибуя,Warrior,Flamegor,574 - 475,55%
187,3001,Сладенькийх,Paladin,Flamegor,869 - 730,54%
189,3000,Musclecaesar,Shaman,Firemaw,323 - 240,57%
189,3000,Capsizerx,Paladin,Firemaw,161 - 128,56%
191,2999,Hxdra,Priest,Gehennas,457 - 355,56%
191,2999,Wannaberival,Priest,Gehennas,615 - 576,52%
193,2997,Chasx,Priest,Gehennas,673 - 558,55%
194,2994,Ferkan,DeathKnight,Firemaw,352 - 293,55%
194,2994,Jxt,Paladin,Firemaw,489 - 425,54%
194,2994,Unlikely,Warrior,Mirage Raceway,544 - 487,53%
194,2994,Holydef,Paladin,Mirage Raceway,529 - 478,53%
194,2994,Spottman,Druid,Gehennas,685 - 619,53%
199,2990,Kokkofjolla,Paladin,Firemaw,357 - 246,59%
200,2985,Tjmanextdoor,DeathKnight,Gehennas,529 - 430,55%
200,2985,Ахэгао,DeathKnight,Flamegor,872 - 729,54%
200,2985,Juliahhx,Paladin,Gehennas,552 - 504,52%
203,2984,Skîler,Shaman,Firemaw,819 - 653,56%
204,2983,Srenix,Mage,Gehennas,169 - 113,60%
205,2980,Пукотьма,DeathKnight,Flamegor,236 - 143,62%
206,2979,Juicewrldfan,Druid,Firemaw,374 - 318,54%
206,2979,Jztx,Priest,Firemaw,458 - 403,53%
208,2977,Keijuñå,Priest,Firemaw,268 - 212,56%
209,2976,Revindér,Priest,Firemaw,1039 - 910,53%
209,2976,Îd,Rogue,Firemaw,708 - 667,51%
211,2972,Gìna,Paladin,Gehennas,166 - 113,59%
211,2972,Onðyourknees,Warrior,Gehennas,162 - 112,59%
211,2972,Мигоук,DeathKnight,Flamegor,277 - 216,56%
214,2970,Бабумяо,Druid,Flamegor,316 - 243,57%
214,2970,Девастаторрс,Paladin,Flamegor,348 - 268,56%
214,2970,Дрэйнбот,Priest,Flamegor,1199 - 1080,53%
214,2970,Krawnxz,Priest,Gehennas,612 - 586,51%
218,2969,Клубовна,DeathKnight,Flamegor,377 - 321,54%
219,2967,Човский,Warrior,Flamegor,280 - 206,58%
219,2967,Cbathisgame,Warrior,Firemaw,261 - 203,56%
219,2967,Dverik,Druid,Gehennas,625 - 511,55%
219,2967,Fingerboy,Warrior,Gehennas,508 - 473,52%
223,2966,Exzistance,Warrior,Firemaw,323 - 227,59%
223,2966,Enígmz,Druid,Gehennas,138 - 107,56%
225,2964,Shadyl,Priest,Gehennas,164 - 135,55%
225,2964,Doujax,Shaman,Gehennas,341 - 304,53%
225,2964,Lyhnx,Paladin,Gehennas,341 - 304,53%
228,2962,Tireauflanc,Priest,Gehennas,152 - 97,61%
229,2961,Whààzz,Rogue,Firemaw,210 - 133,61%
230,2960,Akitox,Rogue,Earthshaker,343 - 268,56%
230,2960,Syrexlol,Rogue,Earthshaker,516 - 451,53%
232,2959,Imbajon,Rogue,Gehennas,271 - 220,55%
232,2959,Foxegodx,Rogue,Gehennas,737 - 657,53%
234,2958,Socloseagain,Mage,Gehennas,397 - 341,54%
234,2958,Finylboss,Warrior,Firemaw,963 - 836,54%
234,2958,Larsaa,Priest,Gehennas,552 - 492,53%
237,2957,Sonamuh,DeathKnight,Firemaw,726 - 624,54%
238,2956,Flýn,Paladin,Firemaw,211 - 95,69%
239,2955,Gorthaurius,Paladin,Firemaw,139 - 89,61%
240,2954,Chestrb,Priest,Gehennas,412 - 401,51%
241,2953,Яблад,DeathKnight,Flamegor,105 - 42,71%
241,2953,Dawnsta,Rogue,Firemaw,469 - 412,53%
241,2953,Marthoz,Warrior,Firemaw,913 - 835,52%
241,2953,Sectalol,Paladin,Firemaw,1010 - 943,52%
245,2951,Keiste,Priest,Venoxis,127 - 68,65%
245,2951,Mïrar,DeathKnight,Venoxis,127 - 68,65%
245,2951,Choex,Druid,Everlook,678 - 559,55%
245,2951,Loxyz,Shaman,Everlook,482 - 407,54%
245,2951,Уасянх,Paladin,Flamegor,600 - 518,54%
245,2951,Ditchccident,Paladin,Gehennas,864 - 750,54%
251,2950,Sandalim,Paladin,Firemaw,696 - 557,56%
252,2949,Жоскидк,DeathKnight,Flamegor,1291 - 1106,54%
252,2949,Лаптевой,Paladin,Flamegor,1084 - 1023,51%
254,2948,Badboysture,Paladin,Firemaw,82 - 50,62%
255,2947,Brettragg,Warrior,Firemaw,362 - 256,59%
255,2947,Экзгуматор,Mage,Flamegor,210 - 200,51%
257,2946,Albraik,Mage,Gehennas,551 - 405,58%
257,2946,Волв,Shaman,Flamegor,315 - 251,56%
257,2946,Kentiq,Shaman,Thekal,918 - 831,52%
257,2946,Zeorg,Paladin,Thekal,775 - 706,52%
261,2945,Ailos,Warrior,Firemaw,96 - 28,77%
261,2945,Saccident,Paladin,Gehennas,587 - 518,53%
261,2945,Vivemenwotlk,Mage,Sulfuron,565 - 499,53%
264,2943,Aziegødx,Warrior,Firemaw,239 - 192,55%
264,2943,Rôñswâñsôñ,Paladin,Gehennas,405 - 342,54%
264,2943,Djkurwa,Shaman,Gehennas,358 - 314,53%
267,2942,Itshighnoon,Paladin,Firemaw,359 - 284,56%
267,2942,Cigancho,Warrior,Firemaw,392 - 338,54%
269,2941,Justrandomx,Shaman,Gehennas,233 - 155,60%
269,2941,Jaykin,Druid,Gehennas,476 - 401,54%
269,2941,Veyrah,Priest,Gehennas,366 - 311,54%
269,2941,Yey,Rogue,Firemaw,494 - 435,53%
269,2941,Kanzqt,Paladin,Firemaw,494 - 435,53%
274,2940,Opsct,Warrior,Firemaw,306 - 234,57%
275,2939,Lolgogol,Shaman,Firemaw,260 - 205,56%
275,2939,Peastx,Paladin,Firemaw,198 - 158,56%
277,2938,Cochonhalouf,Paladin,Sulfuron,174 - 114,60%
278,2937,Кериганхохо,Priest,Flamegor,708 - 514,58%
279,2936,Снежокз,Warlock,Flamegor,172 - 89,66%
279,2936,Beelz,Shaman,Sulfuron,185 - 141,57%
279,2936,Глюксново,Druid,Flamegor,231 - 186,55%
279,2936,Scylo,Warrior,Firemaw,559 - 476,54%
279,2936,Нелтик,Paladin,Flamegor,681 - 597,53%
284,2935,Cancerologue,Shaman,Auberdine,270 - 215,56%
284,2935,Unckown,Paladin,Auberdine,270 - 215,56%
286,2934,Мааньячка,Rogue,Flamegor,344 - 306,53%
286,2934,Jesrow,Druid,Firemaw,636 - 578,52%
286,2934,Winorwin,Priest,Firemaw,663 - 611,52%
289,2933,Targow,Paladin,Firemaw,140 - 59,70%
289,2933,Bussyx,Paladin,Firemaw,277 - 193,59%
289,2933,Heyitsdaddy,Mage,Firemaw,106 - 81,57%
289,2933,Zrein,DeathKnight,Firemaw,457 - 368,55%
289,2933,Tsunderex,Priest,Firemaw,1178 - 1015,54%
289,2933,Visst,Hunter,Thekal,736 - 640,53%
289,2933,Krawnz,Priest,Firemaw,1082 - 953,53%
289,2933,Skiitz,Priest,Thekal,658 - 600,52%
289,2933,Zikiprundo,Rogue,Firemaw,699 - 643,52%
298,2932,Whaazz,Rogue,Gehennas,284 - 201,59%
298,2932,Chriizx,Warrior,Firemaw,202 - 143,59%
298,2932,Киткарась,DeathKnight,Flamegor,812 - 709,53%
298,2932,Кхалсимус,Paladin,Flamegor,787 - 723,52%
298,2932,Crízp,Druid,Firemaw,789 - 726,52%
298,2932,Buyaparrotx,Shaman,Firemaw,621 - 587,51%
304,2931,Malwàrd,Paladin,Gehennas,107 - 62,63%
304,2931,Ytlà,Priest,Gehennas,189 - 126,60%
304,2931,Tjxd,Druid,Gehennas,287 - 204,58%
307,2930,Totemche,Shaman,Mirage Raceway,175 - 106,62%
307,2930,Palshamhero,Paladin,Mirage Raceway,174 - 106,62%
307,2930,Brazem,Warrior,Firemaw,200 - 137,59%
307,2930,Oouoou,Priest,Gehennas,234 - 175,57%
307,2930,Puskamies,Rogue,Gehennas,203 - 155,57%
307,2930,Avjdagey,Shaman,Mandokir,616 - 510,55%
307,2930,Carmaister,Paladin,Mandokir,333 - 280,54%
307,2930,Kontoo,Hunter,Gehennas,432 - 367,54%
307,2930,Johndorian,Priest,Gehennas,471 - 404,54%
316,2929,Fuhurka,Druid,Mograine,248 - 171,59%
316,2929,Xcvlock,Warlock,Mograine,166 - 117,59%
318,2928,Lóveless,Shaman,Gehennas,164 - 122,57%
318,2928,Evolvebanned,Priest,Gehennas,585 - 530,52%
318,2928,Cooldx,Rogue,Gehennas,1246 - 1177,51%
321,2927,Smallprays,Priest,Venoxis,223 - 167,57%
321,2927,Kpacey,Mage,Venoxis,255 - 194,57%
321,2927,Bommes,Shaman,Gehennas,562 - 431,57%
321,2927,Kásúxøxø,Hunter,Firemaw,589 - 525,53%
325,2926,Erzå,Rogue,Gehennas,141 - 68,67%
325,2926,Taku,Rogue,Sulfuron,562 - 465,55%
325,2926,Xynthiasqt,Paladin,Sulfuron,369 - 325,53%
328,2925,Enhahaha,Shaman,Firemaw,113 - 70,62%
328,2925,Thegirth,DeathKnight,Firemaw,235 - 173,58%
328,2925,Wäkz,Mage,Sulfuron,312 - 258,55%
328,2925,Painzy,Paladin,Firemaw,386 - 325,54%
328,2925,Círes,Paladin,Mograine,579 - 531,52%
328,2925,Lectør,Warrior,Mograine,580 - 534,52%
334,2924,Dksture,DeathKnight,Firemaw,140 - 90,61%
334,2924,Jimosx,Paladin,Firemaw,356 - 285,56%
334,2924,Kembawålker,Druid,Firemaw,423 - 349,55%
337,2923,Aphane,Rogue,Firemaw,737 - 613,55%
337,2923,Nevox,Warlock,Firemaw,603 - 505,54%
337,2923,Weedzy,Druid,Firemaw,643 - 567,53%
337,2923,Defig,Shaman,Golemagg,772 - 689,53%
337,2923,Shapypally,Paladin,Golemagg,873 - 827,51%
342,2922,Kathal,Rogue,Firemaw,258 - 205,56%
342,2922,Aedrín,Paladin,Gehennas,629 - 531,54%
342,2922,Holysaxyboy,Paladin,Firemaw,380 - 329,54%
342,2922,Reynax,Paladin,Firemaw,681 - 604,53%
342,2922,Nolól,DeathKnight,Gehennas,584 - 518,53%
342,2922,Neenjax,Warrior,Firemaw,518 - 463,53%
348,2921,Hannahuwuu,Paladin,Firemaw,104 - 69,60%
348,2921,Elswave,Warrior,Gehennas,319 - 226,59%
348,2921,Scrynå,Warlock,Gehennas,267 - 194,58%
348,2921,Caccie,Paladin,Gehennas,289 - 211,58%
348,2921,Targôw,Paladin,Lakeshire,360 - 265,58%
348,2921,Corneas,Paladin,Firemaw,224 - 172,57%
348,2921,Réoz,Shaman,Firemaw,556 - 468,54%
348,2921,Notorious,Warrior,Mirage Raceway,369 - 316,54%
348,2921,Мадарахз,Shaman,Flamegor,492 - 424,54%
348,2921,Рхамейвен,Paladin,Flamegor,431 - 377,53%
348,2921,Sileina,Paladin,Earthshaker,737 - 647,53%
348,2921,Oçd,DeathKnight,Earthshaker,710 - 638,53%
348,2921,Zealadin,Paladin,Mirage Raceway,485 - 436,53%
361,2920,Freddaxo,Shaman,Gehennas,226 - 164,58%
361,2920,Chandlerßing,Paladin,Gehennas,136 - 106,56%
361,2920,Ilovelu,Rogue,Lakeshire,456 - 388,54%
361,2920,Маленькичлен,Paladin,Flamegor,337 - 287,54%
361,2920,Brokenstep,Rogue,Lakeshire,573 - 499,53%
361,2920,Æstral,Rogue,Thekal,625 - 562,53%
361,2920,Speedypepe,Rogue,Thekal,449 - 406,53%
368,2919,Valais,DeathKnight,Gehennas,166 - 101,62%
368,2919,Qabish,Paladin,Gehennas,157 - 98,62%
368,2919,Десполятрикс,Priest,Flamegor,166 - 109,60%
368,2919,Øøzaru,Hunter,Sulfuron,288 - 233,55%
368,2919,Upyky,Priest,Sulfuron,541 - 466,54%
368,2919,Baboonfiesta,Paladin,Sulfuron,339 - 296,53%
368,2919,Supremx,DeathKnight,Auberdine,391 - 347,53%
368,2919,Takeøff,Paladin,Auberdine,391 - 352,53%
376,2918,Unluckýcat,Druid,Earthshaker,275 - 210,57%
376,2918,Micerá,Paladin,Gehennas,359 - 292,55%
376,2918,Kissmycoyle,DeathKnight,Venoxis,338 - 277,55%
376,2918,Crimzôn,Druid,Venoxis,278 - 241,54%
376,2918,Scrÿÿm,Shaman,Golemagg,584 - 520,53%
376,2918,Yëa,Paladin,Golemagg,602 - 540,53%
376,2918,Tàli,Paladin,Firemaw,331 - 308,52%
383,2917,Neepzen,Druid,Gehennas,274 - 190,59%
383,2917,Sippiê,Paladin,Firemaw,291 - 205,59%
383,2917,Chiliesauce,Rogue,Gehennas,476 - 367,56%
383,2917,Fusetøn,DeathKnight,Firemaw,826 - 653,56%
383,2917,Cloudzlol,Priest,Gehennas,397 - 320,55%
388,2916,Harstuckavie,Priest,Sulfuron,89 - 55,62%
388,2916,Harawly,Paladin,Sulfuron,430 - 358,55%
388,2916,Gatteka,Warrior,Venoxis,289 - 241,55%
388,2916,Psawyer,Paladin,Venoxis,289 - 241,55%
388,2916,Shivz,Shaman,Sulfuron,392 - 333,54%
388,2916,Bluesquirt,Shaman,Firemaw,635 - 549,54%
394,2915,Whosmad,Paladin,Firemaw,184 - 133,58%
394,2915,Wiggÿ,Warrior,Lakeshire,404 - 336,55%
394,2915,Danmeow,Druid,Firemaw,320 - 273,54%
397,2914,Jstyle,Paladin,Firemaw,261 - 170,61%
397,2914,Nästy,DeathKnight,Sulfuron,253 - 190,57%
397,2914,Akátsukí,Warrior,Firemaw,325 - 248,57%
397,2914,Ruftvess,Mage,Sulfuron,293 - 227,56%
397,2914,Nowviable,Druid,Gehennas,442 - 354,56%
397,2914,Elrââ,Paladin,Sulfuron,409 - 329,55%
397,2914,Wigbertus,Warrior,Lakeshire,324 - 265,55%
397,2914,Ару,Paladin,Flamegor,597 - 542,52%
405,2913,Теошка,DeathKnight,Flamegor,218 - 154,59%
405,2913,Debaz,Priest,Sulfuron,318 - 231,58%
405,2913,Petraxs,Rogue,Gehennas,291 - 250,54%
405,2913,Peterololz,Shaman,Gehennas,354 - 311,53%
405,2913,Arhyzqt,Rogue,Firemaw,454 - 400,53%
405,2913,Шбло,Paladin,Flamegor,706 - 645,52%
405,2913,Hammerstrike,Paladin,Earthshaker,615 - 569,52%
405,2913,Burakbaba,Hunter,Earthshaker,662 - 614,52%
405,2913,Драйнкзеон,Priest,Flamegor,2552 - 2481,51%
405,2913,Силимиз,Mage,Flamegor,2197 - 2155,50%
415,2912,Stealtsoul,DeathKnight,Golemagg,229 - 149,61%
415,2912,Qqwerty,Shaman,Gehennas,194 - 135,59%
415,2912,Immvpx,Paladin,Gehennas,223 - 161,58%
415,2912,Mmrklepter,Mage,Gehennas,390 - 311,56%
415,2912,Âthînâ,DeathKnight,Gehennas,339 - 276,55%
